task,method,score
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_single,Unknown,
semantic_multi,Unknown,
semantic_multi,Unknown,
semantic_multi,Unknown,
semantic_multi,Unknown,
semantic_multi,Unknown,
semantic_multi,Unknown,
semantic_multi,Unknown,
semantic_multi,Unknown,
panoptic,Unknown,
panoptic,Unknown,
panoptic,Unknown,
panoptic,Unknown,
panoptic,Unknown,
panoptic,Unknown,
panoptic,Unknown,
panoptic,Unknown,
panoptic,Unknown,
panoptic,Unknown,
panoptic,Unknown,
panoptic,Unknown,
panoptic,Unknown,
panoptic4d,Unknown,
panoptic4d,Unknown,
panoptic4d,Unknown,
panoptic4d,Unknown,
panoptic4d,Unknown,
panoptic4d,Unknown,
mos,Unknown,
mos,Unknown,
mos,Unknown,
mos,Unknown,
mos,Unknown,
mos,Unknown,
mos,Unknown,
mos,Unknown,
completion,Unknown,
completion,Unknown,
completion,Unknown,
completion,Unknown,
